id: 454083262608252458, distance: 0.6977645754814148, entity: {'Metaphone_Name': 'SMRNT', 'Title_Code': 'UPHIN45242', 'Title_Name': 'SAMAR INDIA'}
id: 454083262608252802, distance: 0.695911169052124, entity: {'Metaphone_Name': 'SMNJSNT', 'Title_Code': 'UPHIN45165', 'Title_Name': 'SAMANJASYA INDIA'}
id: 454083262608239548, distance: 0.6946879029273987, entity: {'Metaphone_Name': 'STTJKRN', 'Title_Code': 'UTTHIN05410', 'Title_Name': 'SATAT JAGRAN'}
id: 454083262608239389, distance: 0.6945273280143738, entity: {'Metaphone_Name': 'XRMKJKRN', 'Title_Code': 'JHAHIN00838', 'Title_Name': 'SHRAMIK JAGRAN'}
id: 454083262608239454, distance: 0.6940096020698547, entity: {'Metaphone_Name': 'MR0RJKRN', 'Title_Code': 'RAJHIN13652', 'Title_Name': 'MARUTHAR JAGRAN'}
id: 454083262608239441, distance: 0.6928258538246155, entity: {'Metaphone_Name': 'ATPKJKRN', 'Title_Code': 'PUNMUL00717', 'Title_Name': 'ADHYAPAK JAGRAN'}
id: 454083262608239510, distance: 0.6879124045372009, entity: {'Metaphone_Name': 'SRNXJKRN', 'Title_Code': 'UPHIN50457', 'Title_Name': 'SARANSH JAGRAN'}
id: 454083262608239490, distance: 0.6846716403961182, entity: {'Metaphone_Name': 'JKTRHKJKRN', 'Title_Code': 'UPHIN20717', 'Title_Name': 'JAGTA RAHEGA JAGRAN'}
id: 454083262608239443, distance: 0.680799126625061, entity: {'Metaphone_Name': 'PNJPJKRN', 'Title_Code': 'PUNPUN03799', 'Title_Name': 'PUNJABI JAGRAN'}
id: 454083262608239418, distance: 0.6806225180625916, entity: {'Metaphone_Name': 'XSTJKRN', 'Title_Code': 'MPHIN08902', 'Title_Name': 'SHOSIT JAGRAN'}
id: 454083262608251981, distance: 0.6795110106468201, entity: {'Metaphone_Name': 'SMTNNT', 'Title_Code': 'RAJHIN17513', 'Title_Name': 'SAMADHAN INDIA'}
id: 454083262608239474, distance: 0.679084837436676, entity: {'Metaphone_Name': 'NFSRJKRN', 'Title_Code': 'UPBIL05192', 'Title_Name': 'NAVSWAR JAGRAN'}
id: 454083262608239459, distance: 0.6787340641021729, entity: {'Metaphone_Name': 'ATXJKRN', 'Title_Code': 'RAJHIN27860', 'Title_Name': 'AUDICHYA JAGRAN'}
id: 454083262608239405, distance: 0.6785116791725159, entity: {'Metaphone_Name': 'PRKRJKRN', 'Title_Code': 'MAHHIN10329', 'Title_Name': 'PRAKHAR JAGRAN'}
id: 454083262608239406, distance: 0.6785116791725159, entity: {'Metaphone_Name': 'PRKRJKRN', 'Title_Code': 'MAHMAR52850', 'Title_Name': 'PRAKHAR JAGRAN'}
id: 454083262608251769, distance: 0.6785025000572205, entity: {'Metaphone_Name': 'JKRTNT', 'Title_Code': 'MPHIN21892', 'Title_Name': 'JAGRAT INDIA'}
id: 454083262608239479, distance: 0.6764336228370667, entity: {'Metaphone_Name': 'KRNTJKRN', 'Title_Code': 'UPHIN33973', 'Title_Name': 'KRANTI JAGRAN'}
id: 454083262608239482, distance: 0.6763443946838379, entity: {'Metaphone_Name': 'STNTRJKRN', 'Title_Code': 'UPHIN27349', 'Title_Name': 'SWATANTRA JAGRAN'}
id: 454083262608249619, distance: 0.6756516695022583, entity: {'Metaphone_Name': 'ANTSMKRM', 'Title_Code': 'APTEL11926', 'Title_Name': 'INDIA SAMACHARAM'}
id: 454083262608239424, distance: 0.6754695177078247, entity: {'Metaphone_Name': 'KTKJKRN', 'Title_Code': 'MPHIN17090', 'Title_Name': 'KHATIK JAGRAN'}
id: 454083262608239521, distance: 0.6749389171600342, entity: {'Metaphone_Name': 'SPRPTJKRN', 'Title_Code': 'UPHIN33422', 'Title_Name': 'SUPRABHAT JAGRAN'}
id: 454083262608239499, distance: 0.6749389171600342, entity: {'Metaphone_Name': 'SPRPTJKRN', 'Title_Code': 'UPHIN45776', 'Title_Name': 'SUPRABHAT JAGRAN'}
id: 454083262608239347, distance: 0.6743893623352051, entity: {'Metaphone_Name': 'JKRNT', 'Title_Code': 'DELHIN09860', 'Title_Name': 'JAGRAN UDAY'}
id: 454083262608239498, distance: 0.6731377243995667, entity: {'Metaphone_Name': 'KSJKRN', 'Title_Code': 'UPHIN38553', 'Title_Name': 'KHAS JAGRAN'}
id: 454083262608239492, distance: 0.6731377243995667, entity: {'Metaphone_Name': 'KSJKRN', 'Title_Code': 'UPHIN05847', 'Title_Name': 'KHAS JAGRAN'}
id: 454083262608239435, distance: 0.6720026731491089, entity: {'Metaphone_Name': 'XRTLKJKRN', 'Title_Code': 'MPHIN35196', 'Title_Name': 'SHRUTLEKH JAGRAN'}
id: 454083262608239419, distance: 0.6709526777267456, entity: {'Metaphone_Name': 'KRSKJKRN', 'Title_Code': 'MPHIN18736', 'Title_Name': 'KRISAK JAGRAN'}
id: 454083262608239413, distance: 0.6709526777267456, entity: {'Metaphone_Name': 'KRSKJKRN', 'Title_Code': 'MPHIN27979', 'Title_Name': 'KRISAK JAGRAN'}
id: 454083262608239345, distance: 0.670199990272522, entity: {'Metaphone_Name': 'JNTJKRN', 'Title_Code': 'DELBIL05833', 'Title_Name': 'JANHIT JAGRAN'}
id: 454083262608239422, distance: 0.6691670417785645, entity: {'Metaphone_Name': 'ATMJKRN', 'Title_Code': 'MPBIL02575', 'Title_Name': 'AATM JAGRAN'}
id: 454083262608239476, distance: 0.6671825647354126, entity: {'Metaphone_Name': 'JNTJKRNXKT', 'Title_Code': 'UPHIN20546', 'Title_Name': 'JANTA JAGRAN SHAKTI'}
id: 454083262608239493, distance: 0.6651779413223267, entity: {'Metaphone_Name': 'MNHRJKRN', 'Title_Code': 'UPHIN46248', 'Title_Name': 'MANOHAR JAGRAN'}
id: 454083262608239427, distance: 0.664764404296875, entity: {'Metaphone_Name': 'LKJKRN', 'Title_Code': 'MPMAR00015', 'Title_Name': 'LOK JAGRAN'}
id: 454083262608239368, distance: 0.6635932922363281, entity: {'Metaphone_Name': 'KRXJKRN', 'Title_Code': 'DELTEL00085', 'Title_Name': 'KRISHI JAGRAN'}
id: 454083262608239369, distance: 0.6635932922363281, entity: {'Metaphone_Name': 'KRXJKRN', 'Title_Code': 'DELMAL00132', 'Title_Name': 'KRISHI JAGRAN'}
id: 454083262608239356, distance: 0.6635932922363281, entity: {'Metaphone_Name': 'KRXJKRN', 'Title_Code': 'DELTAM00104', 'Title_Name': 'KRISHI JAGRAN'}
id: 454083262608239364, distance: 0.6635932922363281, entity: {'Metaphone_Name': 'KRXJKRN', 'Title_Code': 'DELBEN00166', 'Title_Name': 'KRISHI JAGRAN'}
id: 454083262608239361, distance: 0.6635932922363281, entity: {'Metaphone_Name': 'KRXJKRN', 'Title_Code': 'DELMAR00081', 'Title_Name': 'KRISHI JAGRAN'}
id: 454083262608239350, distance: 0.6635932922363281, entity: {'Metaphone_Name': 'KRXJKRN', 'Title_Code': 'DELKAN00054', 'Title_Name': 'KRISHI JAGRAN'}
id: 454083262608239349, distance: 0.6635932922363281, entity: {'Metaphone_Name': 'KRXJKRN', 'Title_Code': 'DELODI00065', 'Title_Name': 'KRISHI JAGRAN'}
id: 454083262608239371, distance: 0.6635932922363281, entity: {'Metaphone_Name': 'KRXJKRN', 'Title_Code': 'DELASS00022', 'Title_Name': 'KRISHI JAGRAN'}
id: 454083262608239357, distance: 0.6635932922363281, entity: {'Metaphone_Name': 'KRXJKRN', 'Title_Code': 'DELGUJ00077', 'Title_Name': 'KRISHI JAGRAN'}
id: 454083262608239416, distance: 0.6633424758911133, entity: {'Metaphone_Name': 'KRFJKRN', 'Title_Code': 'MPHIN12120', 'Title_Name': 'KAURAV JAGRAN'}
id: 454083262608239475, distance: 0.6632981300354004, entity: {'Metaphone_Name': 'LKXJKRN', 'Title_Code': 'UPHIN42918', 'Title_Name': 'LAKSHYA JAGRAN'}
id: 454083262608239504, distance: 0.6621248722076416, entity: {'Metaphone_Name': 'FSNTRJKRN', 'Title_Code': 'UPHIN50663', 'Title_Name': 'VASUNDHARA JAGRAN'}
id: 454083262608239520, distance: 0.6621248722076416, entity: {'Metaphone_Name': 'FSNTRJKRN', 'Title_Code': 'UPHIN51606', 'Title_Name': 'VASUNDHARA JAGRAN'}
id: 454083262608239517, distance: 0.6621248722076416, entity: {'Metaphone_Name': 'FSNTRJKRN', 'Title_Code': 'UPHIN51605', 'Title_Name': 'VASUNDHARA JAGRAN'}
id: 454083262608239430, distance: 0.6611731052398682, entity: {'Metaphone_Name': 'RXTRJNJKRN', 'Title_Code': 'MPHIN39082', 'Title_Name': 'RASHTRIYA JAN JAGRAN'}
id: 454083262608239496, distance: 0.6602787375450134, entity: {'Metaphone_Name': 'JKRNKTKLHN', 'Title_Code': 'UPHIN35734', 'Title_Name': 'JAGRAN KHET KHALIHAN'}
id: 454083262608239437, distance: 0.660160481929779, entity: {'Metaphone_Name': 'SNSKR0KJKRN', 'Title_Code': 'ODIODI03795', 'Title_Name': 'SANSKRUTHIKA JAGRAN'}
id: 454083262608239524, distance: 0.6575482487678528, entity: {'Metaphone_Name': 'MHLJKRN', 'Title_Code': 'UPHIN14172', 'Title_Name': 'MAHILA JAGRAN'}
id: 454083262608251609, distance: 0.6570177674293518, entity: {'Metaphone_Name': 'ANTSMRT', 'Title_Code': 'MAHHIN05726', 'Title_Name': 'INDIA SAMRAT'}
id: 454083262608251588, distance: 0.6570177674293518, entity: {'Metaphone_Name': 'ANTSMRT', 'Title_Code': 'MAHMAR25468', 'Title_Name': 'INDIA SAMRAT'}
id: 454083262608251596, distance: 0.6570177674293518, entity: {'Metaphone_Name': 'ANTSMRT', 'Title_Code': 'MAHENG10753', 'Title_Name': 'INDIA SAMRAT'}
