Title_Code,Title_Name,Metaphone_Name,distance
UPHIN02761,JAGRAN,JKRN,0.7871156930923462
UPHIN13782,JAGRAN,JKRN,0.7871156930923462
UPHIN13936,JAGRAN,JKRN,0.7871156930923462
WBBEN08039,JAGRAN,JKRN,0.7871156930923462
RAJHIN15032,SAI JAGRAN,SJKRN,0.7639726400375366
UPHIN04961,JALAUN JAGRAN,JLNJKRN,0.7525308132171631
DELBIL11566,JAT JAGRAN,JTJKRN,0.743156909942627
MPHIN08902,SHOSIT JAGRAN,XSTJKRN,0.7274270057678223
RAJHIN13652,MARUTHAR JAGRAN,MR0RJKRN,0.7245055437088013
JHAHIN00838,SHRAMIK JAGRAN,XRMKJKRN,0.7180626392364502
MPHIN10818,PAL JAGRAN,PLJKRN,0.7096085548400879
DELHIN28750,DAINIK JAGRAN RASHTRIYA SANSKARAN,TNKJKRNRXTRSNSKRN,0.7056357860565186
ODIODI03795,SANSKRUTHIKA JAGRAN,SNSKR0KJKRN,0.696276068687439
RAJHIN27860,AUDICHYA JAGRAN,ATXJKRN,0.6946036219596863
UPHIN05173,JYOTI JAGRAN,JTJKRN,0.6923399567604065
UPHIN38553,KHAS JAGRAN,KSJKRN,0.6910495758056641
UPHIN05847,KHAS JAGRAN,KSJKRN,0.6910495758056641
UTTHIN02793,JAGRAN JYOTI,JKRNJT,0.6837489604949951
UPHIN49681,UDYOG JAGRAN,ATKJKRN,0.6819118857383728
MPHIN35196,SHRUTLEKH JAGRAN,XRTLKJKRN,0.6793184876441956
UPHIN08884,PROD JAGRAN,PRTJKRN,0.6784600019454956
DELHIN10692,JAGRAN SAKHI,JKRNSK,0.6781216859817505
UPHIN49748,KUTUMB JAGRAN,KTMPJKRN,0.6768779754638672
MPBIL02575,AATM JAGRAN,ATMJKRN,0.6768264770507812
MPHIN14806,RASTRA JAGRAN,RSTRJKRN,0.6757070422172546
UPHIN50181,JAGRAN MORCHA,JKRNMRX,0.6736218333244324
UPHIN27349,SWATANTRA JAGRAN,STNTRJKRN,0.6713032722473145
DELHIN09860,JAGRAN UDAY,JKRNT,0.6710478067398071
UPHIN50457,SARANSH JAGRAN,SRNXJKRN,0.6709718704223633
HARHIN03350,INDIA POST DAINIK,ANTPSTTNK,0.6694565415382385
MPHIN32233,BALMIK JAGRAN,PLMKJKRN,0.6690121293067932
MPHIN17090,KHATIK JAGRAN,KTKJKRN,0.6680805087089539
MAHMAR52949,NANDIGIRAM JAGRAN,NNTJRMJKRN,0.6624100804328918
UPHIN41035,NARI JAGRAN,NRJKRN,0.6601973176002502
MPHIN27979,KRISAK JAGRAN,KRSKJKRN,0.6578092575073242
MPHIN18736,KRISAK JAGRAN,KRSKJKRN,0.6578092575073242
HARHIN05786,KALASH JAGRAN,KLXJKRN,0.6561760306358337
HARHIN11294,KALASH JAGRAN,KLXJKRN,0.6561760306358337
UTTHIN01631,SURYA JAGRAN,SRJKRN,0.6548102498054504
UPHIN14758,SURYA JAGRAN,SRJKRN,0.6548102498054504
UPBIL05145,GINVANI JAGRAN,KNFNJKRN,0.6541253924369812
UTTHIN05410,SATAT JAGRAN,STTJKRN,0.6536784172058105
MAHMAR47048,JAGRAN TIMES,JKRNTMS,0.6535375714302063
MAHMAR47048,JAGRAN TIMES,JKRNTMS,0.6535375714302063
MAHMAR52107,DAINIK SEVASHAKTI TIMES,TNKSFXKTTMS,0.6535170674324036
UPHIN05010,JAUNPUR JAGRAN,JNPRJKRN,0.6502786874771118
UPHIN33973,KRANTI JAGRAN,KRNTJKRN,0.6471138596534729
DELBIL05833,JANHIT JAGRAN,JNTJKRN,0.6468893885612488
PUNPUN03786,JAN JAGRAN,JNJKRN,0.6457386016845703
DELPUN00627,JAN JAGRAN,JNJKRN,0.6457386016845703
GUJGUJ15098,JAN JAGRAN,JNJKRN,0.6457386016845703
MPMAR00015,LOK JAGRAN,LKJKRN,0.6456418633460999
MAHBIL05860,BAHUJAN JAGRAN,PHJNJKRN,0.6450731754302979
MPHIN07422,JABALPUR JAGRAN,JPLPRJKRN,0.644832968711853
MAHHIN10392,PRAVASI JAGRAN,PRFSJKRN,0.6435860991477966
UPHIN47436,AWADH JAGRAN,ATJKRN,0.6433424353599548
UPHIN48466,AWADH JAGRAN,ATJKRN,0.6433424353599548
DELKAN00054,KRISHI JAGRAN,KRXJKRN,0.6428219079971313
DELTAM00104,KRISHI JAGRAN,KRXJKRN,0.6428219079971313
DELGUJ00077,KRISHI JAGRAN,KRXJKRN,0.6428219079971313
DELBEN00166,KRISHI JAGRAN,KRXJKRN,0.6428219079971313
DELTEL00085,KRISHI JAGRAN,KRXJKRN,0.6428219079971313
DELASS00022,KRISHI JAGRAN,KRXJKRN,0.6428219079971313
DELMAR00081,KRISHI JAGRAN,KRXJKRN,0.6428219079971313
DELODI00065,KRISHI JAGRAN,KRXJKRN,0.6428219079971313
DELMAL00132,KRISHI JAGRAN,KRXJKRN,0.6428219079971313
UPHIN40453,DALIT JAGRAN TIMES,TLTJKRNTMS,0.6427828073501587
UPHIN40453,DALIT JAGRAN TIMES,TLTJKRNTMS,0.6427828073501587
PUNPUN04291,AAGAJ JAGRAN,AKJJKRN,0.642470121383667
MAHBIL10173,SEWAK JAGRAN,SKJKRN,0.636017918586731
MPHIN37153,VANDE JAGRAN,FNTJKRN,0.6358644366264343
UPHIN40475,SRISHTI JAGRAN,SRXTJKRN,0.6332079172134399
JHAHIN01022,JAGRAN MANTRA,JKRNMNTR,0.6331185102462769
MPHIN11647,ANCHALIK JAGRAN,ANXLKJKRN,0.6310675740242004
RAJHIN15260,CHAITANYA JAGRAN,XTNJKRN,0.6267662048339844
